name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,km_per_year,price_category
Maruti Wagon R LXI Minor,2014.0,135000.0,50000.0,Petrol,Individual,Manual,First Owner,12.0,Maruti,4166.666666666667,Budget
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,14.0,Hyundai,7142.857142857143,Mid-Range
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,9.0,Datsun,5111.111111111111,Mid-Range
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,12.0,Honda,11750.0,Mid-Range
Maruti Alto LX BSIII,2007.0,140000.0,60000.0,Petrol,Individual,Manual,First Owner,19.0,Maruti,3157.8947368421054,Budget
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,12.0,Tata,5000.0,Budget
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,11.0,Hyundai,2272.7272727272725,Luxury
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,9.0,Maruti,8666.666666666666,Mid-Range
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,12.0,Tata,8333.333333333334,Mid-Range
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,None,Dealer,Automatic,First Owner,8.0,Toyota,3125.0,Luxury
Maruti Wagon R LXI Minor,2007.0,135000.0,60000.0,Petrol,Individual,Manual,First Owner,19.0,Maruti,3157.8947368421054,Budget
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,14.0,Hyundai,7142.857142857143,Mid-Range
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,9.0,Datsun,5111.111111111111,Mid-Range
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,12.0,Honda,11750.0,Mid-Range
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,19.0,Maruti,6578.9473684210525,Budget
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,10.0,Hyundai,2500.0,Mid-Range
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,12.0,Tata,5000.0,Budget
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,11.0,Hyundai,2272.7272727272725,Luxury
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,9.0,Maruti,8666.666666666666,Mid-Range
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,11.0,Chevrolet,3181.818181818182,Mid-Range
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,12.0,Tata,8333.333333333334,Mid-Range
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,8.0,Toyota,3125.0,Luxury
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,11.0,Maruti,2181.818181818182,Mid-Range
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,7.0,Hyundai,714.2857142857143,Luxury
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,13.0,Mercedes-Benz,4538.461538461538,Luxury
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,8.0,Maruti,562.5,Luxury
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,8.0,Honda,1812.5,Luxury
